Region,Agency_Name,Counties_Served,Phone,Website,Notes
Bay Area,Children's Council of San Francisco,San Francisco,415-343-3300,childrenscouncil.org,Largest SF CCR&R
Bay Area,Wu Yee Children's Services,San Francisco,415-391-4956,wuyee.org,Chinese language services available
Bay Area,Child Care Coordinating Council of San Mateo,San Mateo,650-696-8787,thecouncil.net,Serves San Mateo County
Bay Area,4Cs of Alameda County,"Alameda (except Newark, Fremont)",510-582-2182,4c-alameda.org,4Cs = Community Child Care Council
Bay Area,Santa Clara County Office of Education,Santa Clara,408-453-6900,sccoe.org/cde,County-run R&R
Bay Area,CocoKids,"Contra Costa, Solano",925-676-5442,cocokids.org,Serves two counties
Bay Area,Child Care Links,"Alameda (Fremont, Newark, Union City)",510-582-2182,childcarelinks.org,Southern Alameda focus
Bay Area,North Bay Child Care Planning Council,Marin,415-472-1092,marin4kids.org,Part of Marin County planning
Bay Area,Child Start Inc.,Napa,707-253-4532,childstartinc.org,Napa County services
Los Angeles,Child Care Resource Center,"Los Angeles (North), Antelope Valley, San Bernardino",818-717-1000,ccrcca.org,Largest LA area CCR&R
Los Angeles,Crystal Stairs Inc.,Los Angeles (South Central),323-299-8998,crystalstairs.org,South LA focus
Los Angeles,Connections For Children,Los Angeles (Westside),310-452-3325,connectionsforchildren.org,Santa Monica/Westside
Los Angeles,Options For Learning,Los Angeles (San Gabriel Valley),626-856-5900,optionsforlearning.org,Eastern LA County
Los Angeles,Pathways LA,Los Angeles (Multiple areas),323-269-4756,pathwaysla.org,Multiple LA locations
Los Angeles,Children's Home Society,Long Beach area,562-256-7490,chs-ca.org,Greater Long Beach
Los Angeles,Mexican American Opportunity Foundation,Los Angeles (Commerce),323-890-1555,maof.org,Commerce/East LA area
Los Angeles,PACE - Child Care Alliance,Los Angeles,626-307-5553,pfrancis.org/pace,Pasadena area
Southern California,Children's Home Society of California,Orange County,714-543-2273,chs-ca.org,Also serves LA areas
Southern California,Riverside County Office of Education,Riverside,951-826-6530,rcoe.us,County-run R&R
Southern California,Child Care Resource Center,San Bernardino,909-384-8000,ccrcca.org,Inland Empire (CCRC branch)
Southern California,YMCA Childcare Resource Service,San Diego,619-521-3055,ymcasd.org/crs,Primary San Diego R&R
Southern California,Imperial County Office of Education,Imperial,760-312-6464,icoe.org,Rural Imperial County
San Joaquin Valley,Child Action Inc.,"Sacramento, Yolo",916-369-0191,childaction.org,Primary Sacramento R&R
San Joaquin Valley,4Cs of San Joaquin,San Joaquin,209-948-1553,frcsj.org,Stockton area
San Joaquin Valley,Merced County Human Services Agency,Merced,209-385-3000,co.merced.ca.us,County-run services
San Joaquin Valley,Central Valley Children's Services Network,Fresno,559-456-8195,cvcsn.org,Fresno area
San Joaquin Valley,Kings Community Action Organization,Kings,559-582-4386,kcao.org,Hanford area
San Joaquin Valley,Tulare County Office of Education,Tulare,559-733-6633,tcoe.org,Rural Tulare County
San Joaquin Valley,Kern County Superintendent of Schools,Kern,661-636-4357,kern.org,Bakersfield area
Central Coast,Community Action Partnership of SLO,San Luis Obispo,805-544-4355,capslo.org,SLO County
Central Coast,Children's Resource & Referral of Santa Barbara County,Santa Barbara,805-962-8988,crrsbc.org,Santa Barbara County
Central Coast,Child Development Resources of Ventura County,Ventura,805-485-7878,clovisusd.k12.ca.us/cdrc,Ventura County
Central Coast,Child Development Resource Center,Santa Cruz,831-476-8585,childcare.santacruzcoe.org,Santa Cruz County
Central Coast,Community Child Care Council of Monterey,Monterey,831-757-0982,montereyccc.org,Monterey County
North State,Child Action Inc.,Sacramento,916-369-0191,childaction.org,Also serves multiple counties
North State,Yolo County Children's Alliance,Yolo,530-668-4114,yolokids.org,Davis/Woodland area
North State,Shasta County Office of Education,Shasta,530-225-0220,shastacoe.org,Redding area
North State,First 5 Butte County,Butte,530-895-4430,first5butte.org,Chico area
North State,North Coast Opportunities,Lake,707-263-4688,ncoinc.org,Rural Lake County
North State,Siskiyou Child Care Council,Siskiyou,530-842-3228,siskiyouchildcare.org,Mt. Shasta area
North State,Plumas Rural Services,Plumas,530-283-1100,plumasruralservices.org,Rural Plumas County
North State,Lassen Child & Family Resources,Lassen,530-257-9781,lassencfr.com,Susanville area
North State,Del Norte Child Care Council,Del Norte,707-464-8311,dnccc.org,Crescent City area
North State,Humboldt County Office of Education,Humboldt,707-445-7075,hcoe.org,Eureka/Humboldt area
North State,Mendocino County Office of Education,Mendocino,707-467-5100,mcoe.us,Ukiah area
Eastern California,Inyo County Office of Education,Inyo,760-873-3262,icsos.us,Bishop area
Eastern California,Mono County Office of Education,Mono,760-934-0031,monocoe.org,Mammoth Lakes area
Eastern California,Alpine County,Alpine,530-694-2230,alpinecountyca.gov,Smallest CA county
Eastern California,Catalyst Community,El Dorado,530-621-4540,catalystforkids.org,Placerville area
Eastern California,Sierra Nevada Children's Services,"Nevada, Sierra",530-478-1900,sncsnnc.org,Grass Valley area
