Program_Name,Program_Type,URL,Phone,Description,Coverage_Area,Last_Verified
CCR&R Network Find Child Care,Search Tool,https://rrnetwork.org/family-services/find-child-care,,Childcare search and local CCR&R referral,Statewide,2026-02
Find Child Care (CCR&R Network),Search Tool,https://rrnetwork.org/family-services/find-child-care,,State childcare provider search via CCR&R Network,Statewide,2026-02
California CCR&R Network,Resource & Referral,https://rrnetwork.org,,Find local CCR&R agencies,Statewide,2025-12
CCR&R Directory,Resource & Referral,https://rrnetwork.org/about/r-r-directory,,CCR&R agency directory,Statewide,2025-12
Head Start California,Head Start,https://headstartca.org,,California Head Start information,Statewide,2025-12
TrustLine,Background Check,https://trustline.org,800-822-8490,License-exempt caregiver registry,Statewide,2025-12
Quality Counts California,Quality Rating,https://qualitycountsca.net,,QRIS quality ratings for providers,Statewide,2025-12
ShotsForSchool.org,Immunization,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/School/shotsforschool.aspx,,School/childcare vaccine requirements,Statewide,2025-12
Digital Vaccine Record,Immunization,https://myvaccinerecord.cdph.ca.gov,,CA digital COVID/vaccine records,Statewide,2025-12
CAIR (CA Immunization Registry),Immunization,https://www.cdph.ca.gov/Programs/CID/DCDC/CAIR/Pages/CAIR-updates.aspx,,California immunization registry,Statewide,2025-12
211 California,General Resource,https://211.org,,Dial 211 for local services,Statewide,2025-12
CalJOBS,Employment,https://www.caljobs.ca.gov,,California job search portal,Statewide,2025-12
NAEYC Accreditation,Accreditation,https://www.naeyc.org/accreditation,,National center accreditation,National,2025-12
NAFCC Accreditation,Accreditation,https://www.nafcc.org,,National family childcare accreditation,National,2025-12
Child Care Aware,Military Support,https://www.childcareaware.org/fee-assistancerespite/,,Military fee assistance (MCCYN),National,2025-12
Afterschool Alliance,School-Age Care,https://www.afterschoolalliance.org,,After-school program resources,National,2025-12
Zero to Three,Early Childhood,https://zerotothree.org,,Infant/toddler development resources,National,2025-12
National MSHS Association,Migrant Head Start,https://www.nmshsa.org,,Migrant and Seasonal Head Start,National,2025-12
Early Start Neighborhood,Early Intervention,https://earlystartneighborhood.org,,Family resource centers for Early Start,Statewide,2025-12
CA Inclusion & Behavior Consultation,Special Needs,https://cainclusion.org,,Inclusion support for childcare providers,Statewide,2025-12
Family Voices of California,Special Needs,https://familyvoicesofca.org,,Family advocacy for special healthcare needs,Statewide,2025-12
Autism Society of California,Special Needs,https://autismsociety.org,,Autism resources and support (national org),National,2026-02
Care.com,Private Market,https://www.care.com,,Private childcare search,National,2025-12
Winnie,Private Market,https://winnie.com,,Private childcare search tool,National,2025-12
